17;9;38;300;47.313263;5.04408;
17;9;38;400;47.313263;5.04408;
17;9;38;500;47.313263;5.04408;
17;9;38;600;47.313263;5.04408;
17;9;38;700;47.313263;5.04408;
17;9;38;800;47.313263;5.04408;
17;9;38;900;47.313263;5.04408;
17;9;39;0;47.313263;5.04408;
17;9;39;100;47.313263;5.04408;
17;9;39;200;47.313263;5.04408;
17;9;39;300;47.313267;5.04408;
17;9;39;400;47.313267;5.04408;
17;9;39;500;47.313267;5.04409;
17;9;39;600;47.313267;5.04409;
17;9;39;700;47.313267;5.04409;
17;9;39;800;47.313267;5.04409;
17;9;39;900;47.313267;5.04409;
17;9;40;0;47.313267;5.04409;
17;9;40;100;47.313267;5.04409;
17;9;40;200;47.313267;5.04409;
17;9;40;300;47.313267;5.0441;
17;9;40;400;47.313267;5.0441;
17;9;40;500;47.313267;5.0441;
17;9;40;600;47.313267;5.0441;
17;9;40;700;47.313267;5.0441;
17;9;40;800;47.313267;5.0441;
17;9;40;900;47.313267;5.04411;
17;9;41;0;47.313267;5.04411;
17;9;41;100;47.313267;5.04411;
17;9;41;200;47.313267;5.04411;
17;9;41;300;47.313267;5.04411;
17;9;41;400;47.313267;5.04411;
17;9;41;500;47.313267;5.04412;
17;9;41;600;47.313267;5.04412;
17;9;41;700;47.313267;5.04412;
17;9;41;800;47.313267;5.04413;
17;9;41;900;47.313267;5.04413;
17;9;42;0;47.313267;5.04413;
17;9;42;100;47.313267;5.04413;
17;9;42;200;47.313267;5.04413;
17;9;42;300;47.313267;5.04413;
17;9;42;400;47.313267;5.04414;
17;9;42;500;47.313267;5.04414;
17;9;42;600;47.313267;5.04414;
17;9;42;700;47.313267;5.04414;
17;9;42;800;47.313267;5.04414;
17;9;42;900;47.313267;5.04414;
17;9;43;0;47.313267;5.04414;
17;9;43;100;47.313267;5.04415;
17;9;43;200;47.313267;5.04415;
17;9;43;300;47.313267;5.04415;
17;9;43;400;47.313267;5.04415;
17;9;43;500;47.313267;5.04415;
17;9;43;600;47.313267;5.04415;
17;9;43;700;47.313271;5.04415;
17;9;43;800;47.313271;5.04415;
17;9;43;900;47.313271;5.04416;
17;9;44;0;47.313271;5.04416;
17;9;44;100;47.313271;5.04416;
17;9;44;200;47.313271;5.04416;
17;9;44;300;47.313271;5.04416;
17;9;44;400;47.313274;5.04416;
17;9;44;500;47.313274;5.04417;
17;9;44;600;47.313274;5.04417;
17;9;44;700;47.313274;5.04417;
17;9;44;800;47.313274;5.04417;
17;9;44;900;47.313274;5.04417;
17;9;45;0;47.313274;5.04417;
17;9;45;100;47.313274;5.04417;
17;9;45;200;47.313274;5.04418;
17;9;45;300;47.313274;5.04418;
17;9;45;400;47.313274;5.04418;
17;9;45;500;47.313274;5.04418;
17;9;45;600;47.313278;5.04418;
17;9;45;700;47.313282;5.04418;
17;9;45;800;47.313286;5.04418;
17;9;45;900;47.313286;5.04418;
17;9;46;0;47.313286;5.04419;
17;9;46;100;47.31329;5.04419;
17;9;46;200;47.31329;5.04419;
17;9;46;300;47.31329;5.04419;
17;9;46;400;47.31329;5.04419;
