type,host_time,imu_time_us,x,y,z,i,j,k,real,accuracy
LA,1782148474.631601,14080312,0.40625,0.375,-0.078125,,,,,
RV,1782148474.6370833,14085712,,,,0.161621,0.211121,0.930786,0.250977,1.143066
LA,1782148474.6400971,14085712,0.375,1.746094,-0.363281,,,,,
RV,1782148474.732738,14257920,,,,0.155334,0.18512,0.941772,0.233887,1.143066
RV,1782148474.8321497,14300566,,,,0.16803,0.178528,0.945129,0.215881,1.143311
LA,1782148474.8367884,14300566,0.75,0.5625,0.128906,,,,,
RV,1782148474.8401616,14305966,,,,0.16864,0.178467,0.945129,0.215393,1.143311
LA,1782148474.8467827,14305966,0.503906,0.609375,0.167969,,,,,
RV,1782148474.848132,14311166,,,,0.169189,0.178406,0.945129,0.215088,1.143311
LA,1782148474.853561,14311166,0.535156,0.609375,0.285156,,,,,
RV,1782148474.8559937,14316066,,,,0.169678,0.178284,0.945129,0.214844,1.143311
LA,1782148474.8617613,14316066,0.527344,0.5625,0.398438,,,,,
RV,1782148474.866966,14321066,,,,0.170166,0.178223,0.945068,0.214661,1.143311
LA,1782148474.8699975,14321066,0.511719,0.722656,0.40625,,,,,
RV,1782148474.875745,14325666,,,,0.170593,0.178101,0.945068,0.2146,1.143311
LA,1782148474.8782444,14325666,0.386719,0.640625,0.484375,,,,,
RV,1782148474.8839633,14331066,,,,0.171082,0.177979,0.945007,0.214539,1.143311
LA,1782148474.88681,14331066,0.304688,0.410156,0.523438,,,,,
RV,1782148474.8906832,14336066,,,,0.171509,0.177856,0.944946,0.214539,1.143311
RV,1782148474.9836028,14508790,,,,0.179138,0.166931,0.945984,0.212585,1.143555
RV,1782148475.0816345,14550114,,,,0.187256,0.158997,0.948547,0.19989,1.143555
LA,1782148475.0870435,14550114,0.953125,-0.203125,-0.222656,,,,,
RV,1782148475.0900705,14555514,,,,0.1875,0.159058,0.948547,0.199402,1.143555
LA,1782148475.0949292,14555514,0.917969,-0.050781,-0.183594,,,,,
RV,1782148475.1006927,14560214,,,,0.187561,0.159119,0.948608,0.198975,1.143555
LA,1782148475.103476,14560214,0.984375,-0.082031,-0.222656,,,,,
RV,1782148475.1086893,14565014,,,,0.1875,0.15918,0.94873,0.19873,1.143555
LA,1782148475.1114035,14565014,0.871094,0.1875,-0.222656,,,,,
RV,1782148475.1168914,14570614,,,,0.187256,0.15918,0.948792,0.198547,1.143555
LA,1782148475.1199205,14570614,0.839844,0.683594,-0.296875,,,,,
RV,1782148475.125272,14575514,,,,0.18689,0.159119,0.948853,0.198486,1.143555
LA,1782148475.1281283,14575514,0.5625,0.613281,-0.269531,,,,,
RV,1782148475.1335113,14580214,,,,0.186462,0.158936,0.948975,0.198547,1.143555
LA,1782148475.1363401,14580214,0.035156,0.691406,-0.152344,,,,,
RV,1782148475.1408594,14585814,,,,0.185913,0.158569,0.949097,0.19873,1.143555
RV,1782148475.23315,14754230,,,,0.20813,0.158813,0.947815,0.181885,1.143799
RV,1782148475.3318336,14800115,,,,0.247559,0.141113,0.942932,0.17218,1.144043
LA,1782148475.3369505,14800115,-0.09375,0.488281,1.808594,,,,,
RV,1782148475.3398864,14805615,,,,0.246155,0.142151,0.943237,0.171814,1.144043
LA,1782148475.3451884,14805615,-0.800781,0.433594,1.339844,,,,,
RV,1782148475.3477118,14810515,,,,0.245178,0.143188,0.94342,0.171387,1.144043
LA,1782148475.3532848,14810515,-1.082031,0.417969,0.996094,,,,,
RV,1782148475.35902,14815615,,,,0.244446,0.144348,0.943542,0.170837,1.144043
LA,1782148475.3617613,14815615,-1.296875,0.441406,0.652344,,,,,
RV,1782148475.3671687,14820315,,,,0.244141,0.145447,0.943542,0.170227,1.144043
LA,1782148475.3702087,14820315,-1.375,0.3125,0.039062,,,,,
RV,1782148475.375793,14825615,,,,0.244141,0.146606,0.943481,0.169434,1.144043
LA,1782148475.3784826,14825615,-1.175781,0.171875,-0.296875,,,,,
RV,1782148475.3839316,14830515,,,,0.244263,0.147705,0.943481,0.168579,1.144043
LA,1782148475.3867295,14830515,-0.984375,0.042969,-0.558594,,,,,
RV,1782148475.391412,14835515,,,,0.244324,0.148743,0.943481,0.167603,1.144043
RV,1782148475.483681,15004241,,,,0.220093,0.165527,0.947632,0.161621,1.144287
RV,1782148475.582827,15050809,,,,0.209595,0.179382,0.952087,0.132141,1.144287
LA,1782148475.587791,15050809,0.976562,0.574219,-0.023438,,,,,
RV,1782148475.5910501,15056209,,,,0.208008,0.179871,0.952515,0.130859,1.144287
LA,1782148475.5962768,15056209,1.035156,0.574219,-0.03125,,,,,
RV,1782148475.5990138,15060809,,,,0.206604,0.180359,0.952881,0.129822,1.144287
LA,1782148475.604422,15060809,1.023438,0.335938,0.152344,,,,,
RV,1782148475.6096933,15066309,,,,0.204651,0.180908,0.953369,0.128601,1.144287
LA,1782148475.6125093,15066309,0.546875,0.488281,-0.929688,,,,,
RV,1782148475.6181784,15071209,,,,0.202454,0.181213,0.953918,0.127502,1.144531
LA,1782148475.6208773,15071209,0.433594,0.371094,-1.519531,,,,,
RV,1782148475.626522,15076209,,,,0.199951,0.181335,0.954529,0.126465,1.144531
LA,1782148475.6291652,15076209,0.050781,0.6875,0.074219,,,,,
RV,1782148475.6349747,15080809,,,,0.197571,0.181519,0.955139,0.125366,1.144531
LA,1782148475.6376224,15080809,-0.023438,0.726562,0.316406,,,,,
RV,1782148475.6421964,15086309,,,,0.195068,0.181702,0.955811,0.124084,1.144531
RV,1782148475.7342465,15259239,,,,0.162231,0.20166,0.961731,0.089783,1.144531
RV,1782148475.8335917,15301203,,,,0.134827,0.239746,0.95929,0.063965,1.144775
LA,1782148475.8386104,15301203,0.699219,-0.0625,-1.382812,,,,,
RV,1782148475.841228,15306503,,,,0.13385,0.241455,0.959106,0.062683,1.144775
LA,1782148475.8467782,15306503,0.78125,0.019531,-1.566406,,,,,
RV,1782148475.8522947,15311603,,,,0.132996,0.242981,0.958923,0.061523,1.144775
LA,1782148475.8549306,15311603,0.835938,0.035156,-1.671875,,,,,
RV,1782148475.8606236,15316303,,,,0.132202,0.244263,0.95874,0.060608,1.144775
LA,1782148475.8634744,15316303,0.777344,0.050781,-1.625,,,,,
RV,1782148475.8695235,15321403,,,,0.131348,0.245422,0.958618,0.059692,1.144775
LA,1782148475.8714595,15321403,0.746094,0.109375,-1.578125,,,,,
RV,1782148475.8777218,15326603,,,,0.130493,0.246399,0.958557,0.058899,1.144775
LA,1782148475.8797376,15326603,0.683594,0.058594,-1.464844,,,,,
RV,1782148475.8854861,15331503,,,,0.1297,0.247253,0.958435,0.058228,1.144775
LA,1782148475.888152,15331503,0.617188,-0.035156,-1.34375,,,,,
RV,1782148475.893124,15336103,,,,0.128845,0.247925,0.958435,0.057678,1.144775
LA,1782148475.9838908,15504547,-0.5,-0.148438,0.558594,,,,,
RV,1782148476.0832589,15550199,,,,0.093628,0.276978,0.955322,0.043274,1.14502
LA,1782148476.0881777,15550199,0.28125,0.039062,-1.003906,,,,,
RV,1782148476.0913718,15555199,,,,0.093079,0.276794,0.955444,0.042969,1.14502
LA,1782148476.0969915,15555199,0.28125,-0.035156,-0.703125,,,,,
RV,1782148476.1020718,15560299,,,,0.092468,0.276672,0.955566,0.042603,1.14502
LA,1782148476.1053488,15560299,0.261719,0.046875,-0.628906,,,,,
RV,1782148476.111324,15565699,,,,0.091736,0.276428,0.955688,0.042236,1.14502
LA,1782148476.1137762,15565699,0.304688,0.164062,-0.558594,,,,,
RV,1782148476.1187906,15570599,,,,0.091003,0.276184,0.955872,0.041992,1.145264
LA,1782148476.1217515,15570599,0.160156,0.132812,-0.257812,,,,,
RV,1782148476.1270661,15575799,,,,0.09021,0.275879,0.956055,0.041687,1.145264
LA,1782148476.1299975,15575799,0.101562,0.101562,-0.183594,,,,,
RV,1782148476.1355152,15580599,,,,0.089539,0.275635,0.956177,0.041504,1.145264
LA,1782148476.138312,15580599,-0.007812,0.109375,-0.03125,,,,,
RV,1782148476.1435237,15585699,,,,0.088867,0.275269,0.95636,0.04126,1.145264
RV,1782148476.235272,15759635,,,,0.069763,0.315125,0.945679,0.038818,1.145264
RV,1782148476.3337276,15800894,,,,0.070129,0.337463,0.93866,0.01355,1.145508
LA,1782148476.3391883,15800894,-0.859375,-0.230469,-0.589844,,,,,
RV,1782148476.3419406,15806294,,,,0.070374,0.339172,0.938049,0.011353,1.145508
LA,1782148476.3477237,15806294,-0.875,-0.214844,-0.796875,,,,,
RV,1782148476.353847,15810994,,,,0.070435,0.340576,0.937561,0.009338,1.145508
LA,1782148476.359183,15810994,-0.84375,-0.230469,-1.433594,,,,,
RV,1782148476.3613274,15816194,,,,0.070435,0.341919,0.937073,0.007019,1.145508
LA,1782148476.3682687,15816194,-0.867188,-0.371094,-1.570312,,,,,
RV,1782148476.3725994,15820794,,,,0.070251,0.342957,0.936707,0.004761,1.145508
LA,1782148476.3730037,15820794,-0.800781,-0.5,-1.707031,,,,,
RV,1782148476.38817,15826294,,,,0.069824,0.343994,0.93634,0.002014,1.145508
LA,1782148476.3885987,15826294,-0.617188,-0.46875,-1.808594,,,,,
RV,1782148476.392727,15830794,,,,-0.069397,-0.344727,-0.936157,0.000427,1.145508
RV,1782148476.3965786,15836294,,,,-0.068726,-0.345337,-0.935974,0.003296,1.145508
RV,1782148476.4882731,16011813,,,,-0.036194,-0.354065,-0.932861,0.055847,1.145752
RV,1782148476.5866797,16050352,,,,-0.037781,-0.36676,-0.925659,0.084778,1.145996
LA,1782148476.592351,16050352,0.523438,-0.597656,-0.339844,,,,,
RV,1782148476.5977385,16055852,,,,-0.038086,-0.366821,-0.925415,0.087158,1.145996
LA,1782148476.601505,16055852,0.695312,-0.4375,-0.640625,,,,,
RV,1782148476.6073544,16060452,,,,-0.038147,-0.36676,-0.925232,0.08905,1.145996
LA,1782148476.6098669,16060452,0.714844,-0.429688,-1.175781,,,,,
RV,1782148476.6136909,16065752,,,,-0.038208,-0.366577,-0.92511,0.091125,1.145996
LA,1782148476.6162107,16065752,2.234375,-2.269531,-2.210938,,,,,
RV,1782148476.6221428,16070952,,,,-0.03833,-0.366089,-0.925171,0.092773,1.145996
LA,1782148476.6278133,16070952,3.289062,-1.5625,-2.714844,,,,,
RV,1782148476.6303308,16075852,,,,-0.038208,-0.365295,-0.925354,0.093933,1.145996
LA,1782148476.6359978,16075852,3.78125,-1.671875,-2.234375,,,,,
RV,1782148476.641344,16080852,,,,-0.037842,-0.364197,-0.92572,0.094727,1.145996
LA,1782148476.6441503,16080852,3.75,-1.347656,-2.355469,,,,,
RV,1782148476.6482015,16085452,,,,-0.037476,-0.362976,-0.926208,0.094971,1.145996
RV,1782148476.7412865,16262354,,,,-0.047302,-0.356812,-0.927673,0.099548,1.14624
RV,1782148476.839399,16305915,,,,-0.03595,-0.360535,-0.926086,0.105286,1.14624
LA,1782148476.8453314,16305915,0.683594,-0.773438,-0.058594,,,,,
RV,1782148476.8495197,16311015,,,,-0.035156,-0.35968,-0.926514,0.104858,1.14624
LA,1782148476.852257,16311015,0.777344,-1.070312,0.460938,,,,,
RV,1782148476.857685,16316115,,,,-0.034302,-0.358887,-0.92688,0.104309,1.14624
LA,1782148476.8605194,16316115,0.953125,-1.140625,0.492188,,,,,
RV,1782148476.8660018,16320815,,,,-0.033386,-0.358276,-0.927246,0.10376,1.14624
LA,1782148476.8687172,16320815,1.015625,-0.902344,0.867188,,,,,
RV,1782148476.8743103,16325615,,,,-0.032288,-0.357727,-0.927551,0.103088,1.14624
LA,1782148476.8772137,16325615,0.808594,-0.511719,0.667969,,,,,
RV,1782148476.882729,16331115,,,,-0.030884,-0.357239,-0.927917,0.102112,1.14624
LA,1782148476.8881643,16331115,0.457031,-0.320312,0.808594,,,,,
RV,1782148476.8937738,16336015,,,,-0.029602,-0.356812,-0.928223,0.101196,1.14624
LA,1782148476.8966084,16336015,-0.125,-0.128906,0.960938,,,,,
RV,1782148476.9006474,16340915,,,,-0.02832,-0.356506,-0.928467,0.10022,1.14624
LA,1782148476.9908314,16511921,3.1875,-0.265625,-2.507812,,,,,
RV,1782148477.0903735,16555643,,,,-0.035583,-0.345093,-0.928345,0.133423,1.146729
LA,1782148477.0960584,16555643,-1.457031,-0.613281,-1.242188,,,,,
RV,1782148477.1014543,16560443,,,,-0.036133,-0.344238,-0.92865,0.133362,1.146729
LA,1782148477.1041775,16560443,-1.273438,0.367188,-1.515625,,,,,
RV,1782148477.110279,16566143,,,,-0.036926,-0.342773,-0.929199,0.133118,1.146729
LA,1782148477.1126764,16566143,-1.625,1.234375,-1.730469,,,,,
RV,1782148477.118164,16570843,,,,-0.037415,-0.341309,-0.929749,0.133057,1.146729
LA,1782148477.1209314,16570843,-2.285156,0.222656,-1.9375,,,,,
RV,1782148477.1266286,16575843,,,,-0.037659,-0.339539,-0.930359,0.13324,1.146729
LA,1782148477.1319923,16575843,-2.667969,-0.214844,-1.273438,,,,,
RV,1782148477.1375608,16580643,,,,-0.037964,-0.337708,-0.930969,0.133606,1.146729
LA,1782148477.1403646,16580643,-2.972656,-0.949219,-0.148438,,,,,
RV,1782148477.1459906,16585943,,,,-0.038513,-0.335693,-0.93158,0.134155,1.146729
LA,1782148477.148693,16585943,-3.136719,-0.917969,0.671875,,,,,
RV,1782148477.153189,16590943,,,,-0.039246,-0.333862,-0.932068,0.134888,1.146729
RV,1782148477.245374,16767747,,,,-0.068848,-0.307129,-0.931396,0.1828,1.146973
RV,1782148477.34339,16811143,,,,-0.090332,-0.272156,-0.937683,0.196228,1.146973
LA,1782148477.3488164,16811143,-1.085938,0.441406,-1.875,,,,,
RV,1782148477.3543584,16816143,,,,-0.091248,-0.270447,-0.937744,0.197815,1.146973
LA,1782148477.3571599,16816143,-0.910156,0.398438,-2.464844,,,,,
RV,1782148477.3627808,16820743,,,,-0.092102,-0.268616,-0.937866,0.199402,1.146973
LA,1782148477.3655639,16820743,-0.542969,0.28125,-3.132812,,,,,
RV,1782148477.3710282,16826143,,,,-0.09314,-0.266052,-0.93811,0.201233,1.146973
LA,1782148477.373826,16826143,-0.214844,0.261719,-3.53125,,,,,
RV,1782148477.379461,16831143,,,,-0.094238,-0.263306,-0.938416,0.203003,1.146973
LA,1782148477.384907,16831143,0.105469,0.238281,-3.59375,,,,,
RV,1782148477.387832,16836043,,,,-0.095276,-0.260254,-0.938782,0.20459,1.147217
LA,1782148477.393548,16836043,0.359375,0.035156,-3.242188,,,,,
RV,1782148477.3988457,16840743,,,,-0.096313,-0.25708,-0.93927,0.206055,1.147217
LA,1782148477.401632,16840743,0.304688,-0.097656,-2.882812,,,,,
RV,1782148477.405698,16846143,,,,-0.097717,-0.25293,-0.93988,0.207642,1.147217
RV,1782148477.497767,17021955,,,,-0.095032,-0.183228,-0.944519,0.255554,1.147461
RV,1782148477.596019,17061064,,,,-0.063904,-0.155151,-0.937073,0.306213,1.147461
LA,1782148477.6014752,17064164,-3.136719,0.015625,-3.199219,,,,,
RV,1782148477.6070466,17065964,,,,-0.060974,-0.152344,-0.936218,0.310791,1.147461
LA,1782148477.6107068,17071064,-3.289062,-0.011719,-3.542969,,,,,
RV,1782148477.6153567,17071064,,,,-0.058411,-0.149475,-0.935242,0.315552,1.147461
RV,1782148477.6209114,17076064,,,,-0.056335,-0.146484,-0.934204,0.320312,1.147461
LA,1782148477.6236832,17076064,-3.441406,-0.539062,-3.949219,,,,,
RV,1782148477.6297073,17081064,,,,-0.054565,-0.143066,-0.933105,0.325317,1.147705
LA,1782148477.632124,17081064,-3.246094,-0.667969,-3.589844,,,,,
RV,1782148477.6377094,17086564,,,,-0.05304,-0.139038,-0.931824,0.330933,1.147705
LA,1782148477.6436856,17086564,-3.054688,-0.789062,-2.847656,,,,,
RV,1782148477.6487186,17091464,,,,-0.052002,-0.135132,-0.930603,0.336182,1.147705
LA,1782148477.651488,17091464,-2.71875,-0.84375,-2.257812,,,,,
RV,1782148477.657085,17096064,,,,-0.05127,-0.131409,-0.929321,0.341248,1.147705
LA,1782148477.6598737,17096064,-2.042969,-0.65625,-0.664062,,,,,
RV,1782148477.7513416,17273762,,,,-0.0177,-0.065125,-0.895447,0.440002,1.147949
RV,1782148477.849799,17316436,,,,0.017517,-0.06958,-0.886108,0.457886,1.148193
LA,1782148477.8552492,17316436,-1.257812,-0.09375,1.550781,,,,,
RV,1782148477.8610241,17321336,,,,0.019226,-0.069275,-0.885376,0.45929,1.148193
LA,1782148477.863691,17321336,-1.417969,0.050781,1.597656,,,,,
RV,1782148477.869182,17326736,,,,0.021423,-0.069092,-0.88446,0.460938,1.148193
LA,1782148477.871986,17326736,-1.339844,-0.046875,1.4375,,,,,
RV,1782148477.8787053,17331836,,,,0.02356,-0.069153,-0.883545,0.462585,1.148193
LA,1782148477.880865,17331836,-0.695312,-0.332031,0.710938,,,,,
RV,1782148477.8873792,17337136,,,,0.025818,-0.069336,-0.882568,0.464355,1.148193
LA,1782148477.8903196,17337136,-0.167969,-0.394531,0.257812,,,,,
RV,1782148477.8953714,17341636,,,,0.02771,-0.06958,-0.881714,0.46582,1.148193
LA,1782148477.9042842,17341636,0.171875,-0.253906,-0.164062,,,,,
RV,1782148477.9045615,17346836,,,,0.029846,-0.069885,-0.880737,0.467468,1.148193
LA,1782148477.909735,17346836,0.46875,-0.171875,-0.507812,,,,,
RV,1782148477.9135473,17351536,,,,0.031799,-0.070068,-0.879883,0.468933,1.148193
RV,1782148478.00362,17526874,,,,0.046997,-0.065063,-0.867493,0.490967,1.148193
RV,1782148478.1017983,17566025,,,,0.072876,-0.051514,-0.85907,0.504028,1.148438
LA,1782148478.1073074,17566025,-0.296875,-0.105469,-0.316406,,,,,
RV,1782148478.1128895,17571325,,,,0.073242,-0.051147,-0.858704,0.504639,1.148438
LA,1782148478.1155646,17571325,0.09375,-0.824219,0.21875,,,,,
RV,1782148478.1211202,17576425,,,,0.072998,-0.050964,-0.858459,0.505127,1.148438
LA,1782148478.123841,17576425,0.210938,-0.746094,0.179688,,,,,
RV,1782148478.1295555,17581225,,,,0.072388,-0.051025,-0.858215,0.505554,1.148438
LA,1782148478.1323047,17581225,0.003906,-0.59375,0.058594,,,,,
RV,1782148478.1378272,17586525,,,,0.071228,-0.051514,-0.858093,0.50592,1.148438
LA,1782148478.1406124,17586525,-0.171875,-0.472656,-0.210938,,,,,
RV,1782148478.146291,17591025,,,,0.069702,-0.052124,-0.858032,0.506226,1.148438
LA,1782148478.1519325,17591025,-0.089844,-0.386719,-0.707031,,,,,
RV,1782148478.1545289,17596525,,,,0.067322,-0.053101,-0.857971,0.50647,1.148438
LA,1782148478.1600823,17596525,0.054688,-0.417969,-0.746094,,,,,
RV,1782148478.1635678,17600925,,,,0.065125,-0.053894,-0.857971,0.506653,1.148438
RV,1782148478.256208,17777026,,,,-0.001099,-0.086731,-0.869019,0.487122,1.148682
RV,1782148478.3550987,17821030,,,,0.00415,-0.078369,-0.872559,0.482178,1.148926
LA,1782148478.359979,17821030,1.027344,-0.738281,1.136719,,,,,
RV,1782148478.365031,17826430,,,,0.00708,-0.0755,-0.872803,0.482117,1.148926
LA,1782148478.368036,17826430,0.453125,-0.40625,2.125,,,,,
RV,1782148478.3733532,17831630,,,,0.01001,-0.072754,-0.873108,0.481934,1.148926
LA,1782148478.376621,17831630,-0.203125,-0.304688,2.53125,,,,,
RV,1782148478.3818111,17836530,,,,0.012756,-0.070496,-0.873352,0.48175,1.148926
LA,1782148478.3846767,17836530,-0.707031,-0.675781,3.070312,,,,,
RV,1782148478.390087,17841530,,,,0.015137,-0.068787,-0.873596,0.481506,1.148926
LA,1782148478.392777,17841530,-1.152344,-0.320312,3.023438,,,,,
RV,1782148478.3984342,17846230,,,,0.016968,-0.06781,-0.873779,0.481262,1.148926
LA,1782148478.403923,17846230,-1.1875,0.519531,2.714844,,,,,
RV,1782148478.4068027,17851430,,,,0.018555,-0.067322,-0.873901,0.481018,1.148926
LA,1782148478.4123752,17851430,-1.042969,0.550781,2.292969,,,,,
RV,1782148478.4152048,17856430,,,,0.019714,-0.067383,-0.873962,0.480835,1.148926
LA,1782148478.505995,18026787,0.738281,-0.449219,0.753906,,,,,
RV,1782148478.6065254,18072296,,,,-0.026489,-0.086243,-0.879517,0.467224,1.14917
LA,1782148478.6133368,18072296,-0.492188,0.554688,0.273438,,,,,
RV,1782148478.6171727,18076996,,,,-0.027344,-0.085754,-0.880066,0.466248,1.149414
LA,1782148478.6200366,18076996,-1.613281,0.800781,0.734375,,,,,
RV,1782148478.6260672,18081996,,,,-0.027954,-0.085022,-0.880554,0.465393,1.149414
LA,1782148478.6283953,18081996,-2.078125,0.691406,1.269531,,,,,
RV,1782148478.6342077,18086596,,,,-0.028259,-0.08429,-0.88092,0.464844,1.149414
LA,1782148478.636992,18086596,-2.148438,0.667969,1.949219,,,,,
RV,1782148478.6422713,18091996,,,,-0.02832,-0.083374,-0.881165,0.4646,1.149414
LA,1782148478.6449912,18091996,-1.988281,0.226562,2.410156,,,,,
RV,1782148478.6507595,18096996,,,,-0.028076,-0.08252,-0.881226,0.4646,1.149414
LA,1782148478.6562955,18096996,-1.75,-0.21875,2.707031,,,,,
RV,1782148478.6617203,18101896,,,,-0.027588,-0.081848,-0.881165,0.464844,1.149414
LA,1782148478.664606,18101896,-1.542969,-0.363281,2.707031,,,,,
RV,1782148478.6682937,18107396,,,,-0.026855,-0.081299,-0.880981,0.465332,1.149414
RV,1782148478.7616558,18283291,,,,-0.029419,-0.093323,-0.882935,0.459167,1.149414
RV,1782148478.8600602,18321351,,,,-0.027222,-0.095276,-0.887451,0.450195,1.149658
LA,1782148478.865067,18321351,-1.542969,-0.15625,-1.0,,,,,
RV,1782148478.8704572,18326951,,,,-0.027588,-0.09491,-0.88739,0.450256,1.149658
LA,1782148478.873223,18326951,-1.128906,-0.261719,-1.074219,,,,,
RV,1782148478.8785121,18331751,,,,-0.028015,-0.094604,-0.887329,0.450378,1.149658
LA,1782148478.8813436,18331751,-0.902344,-0.398438,-1.0,,,,,
RV,1782148478.8867445,18336751,,,,-0.028625,-0.094177,-0.887268,0.450623,1.149658
LA,1782148478.889834,18336751,-0.5625,-0.582031,-0.882812,,,,,
RV,1782148478.895139,18341451,,,,-0.029358,-0.093811,-0.887207,0.450806,1.149658
LA,1782148478.900647,18341451,0.003906,-0.652344,-0.386719,,,,,
RV,1782148478.9064722,18346751,,,,-0.030334,-0.093445,-0.887085,0.450989,1.149658
LA,1782148478.9091613,18346751,0.101562,-0.636719,-0.15625,,,,,
RV,1782148478.9144619,18351751,,,,-0.031372,-0.093201,-0.887085,0.45105,1.149658
LA,1782148478.917195,18351751,0.203125,-0.582031,-0.042969,,,,,
RV,1782148478.922064,18356751,,,,-0.032593,-0.09314,-0.887024,0.45105,1.149658
RV,1782148479.0155513,18533246,,,,-0.042725,-0.092163,-0.886963,0.4505,1.149902
RV,1782148479.11325,18577353,,,,-0.045227,-0.092896,-0.88562,0.45282,1.149902
LA,1782148479.1185286,18577353,-0.070312,0.085938,-0.800781,,,,,
RV,1782148479.1239922,18581853,,,,-0.045288,-0.093018,-0.88562,0.452698,1.149902
LA,1782148479.1267352,18581853,-0.492188,0.011719,-0.953125,,,,,
RV,1782148479.1321867,18587253,,,,-0.045227,-0.092957,-0.885681,0.452637,1.149902
LA,1782148479.1351426,18587253,-0.722656,0.011719,-0.875,,,,,
RV,1782148479.140206,18592353,,,,-0.045227,-0.092834,-0.885681,0.452637,1.149902
LA,1782148479.1431613,18592353,-0.875,0.046875,-0.761719,,,,,
RV,1782148479.148834,18597253,,,,-0.045227,-0.092651,-0.885681,0.452698,1.149902
LA,1782148479.1541064,18597253,-0.953125,0.210938,-0.417969,,,,,
RV,1782148479.1569393,18601853,,,,-0.045349,-0.092407,-0.88562,0.45282,1.149902
LA,1782148479.1625092,18601853,-0.992188,0.171875,-0.378906,,,,,
RV,1782148479.167871,18607253,,,,-0.045471,-0.092163,-0.885559,0.453064,1.149902
LA,1782148479.1712754,18607253,-0.992188,0.101562,-0.417969,,,,,
RV,1782148479.1752496,18612253,,,,-0.045532,-0.091797,-0.885437,0.453369,1.149902
RV,1782148479.268077,18788447,,,,-0.047668,-0.096313,-0.882812,0.457275,1.150146
LA,1782148479.3661497,18826574,0.332031,-0.097656,0.296875,,,,,
RV,1782148479.3712096,18831974,,,,-0.054077,-0.095093,-0.881836,0.458679,1.150146
LA,1782148479.3738282,18831974,0.210938,-0.164062,0.410156,,,,,
RV,1782148479.3793294,18836674,,,,-0.05426,-0.09491,-0.881897,0.458618,1.150146
LA,1782148479.3821437,18836674,0.015625,-0.164062,0.640625,,,,,
RV,1782148479.387827,18841874,,,,-0.054443,-0.094788,-0.881958,0.458496,1.150146
LA,1782148479.3905811,18841874,0.023438,-0.082031,0.679688,,,,,
RV,1782148479.3960257,18846974,,,,-0.054565,-0.094727,-0.881958,0.458435,1.150146
LA,1782148479.4017642,18846974,-0.050781,-0.082031,0.640625,,,,,
RV,1782148479.4043417,18851874,,,,-0.054749,-0.094788,-0.882019,0.458374,1.150146
LA,1782148479.4100378,18851874,-0.089844,-0.003906,0.566406,,,,,
RV,1782148479.4154546,18856474,,,,-0.054871,-0.094849,-0.882019,0.458313,1.150146
LA,1782148479.4183185,18856474,-0.175781,-0.117188,0.296875,,,,,
RV,1782148479.4239533,18861774,,,,-0.055054,-0.094971,-0.881958,0.458313,1.150146
LA,1782148479.4262238,18861774,-0.210938,-0.117188,0.144531,,,,,
LA,1782148479.5188472,19036201,0.039062,-0.15625,-0.652344,,,,,
LA,1782148479.5206196,19041101,-0.160156,-0.113281,-0.578125,,,,,
RV,1782148479.617414,19082172,,,,-0.060486,-0.09967,-0.879578,0.461182,1.150635
LA,1782148479.6227567,19082172,-0.085938,0.234375,-0.253906,,,,,
RV,1782148479.62811,19087572,,,,-0.06073,-0.099731,-0.879517,0.461304,1.150635
LA,1782148479.631038,19087572,-0.007812,0.117188,-0.332031,,,,,
RV,1782148479.6366813,19092572,,,,-0.060852,-0.099792,-0.879456,0.461365,1.150635
LA,1782148479.6393354,19092572,0.023438,0.042969,-0.40625,,,,,
RV,1782148479.6449952,19097972,,,,-0.060913,-0.099792,-0.879456,0.461426,1.150635
LA,1782148479.64772,19097972,0.097656,0.042969,-0.332031,,,,,
RV,1782148479.653287,19102372,,,,-0.061035,-0.099792,-0.879456,0.461426,1.150635
LA,1782148479.6589437,19102372,0.136719,-0.035156,-0.292969,,,,,
RV,1782148479.6616628,19107172,,,,-0.061157,-0.099792,-0.879456,0.461365,1.150635
LA,1782148479.6682124,19107172,0.175781,-0.035156,-0.253906,,,,,
RV,1782148479.6787527,19115972,,,,-0.06134,-0.099792,-0.879456,0.461304,1.150635
LA,1782148479.679522,19115972,0.015625,-0.148438,0.050781,,,,,
LA,1782148479.680532,19117172,0.015625,-0.140625,0.050781,,,,,
RV,1782148479.7708921,19291239,,,,-0.066895,-0.103516,-0.878113,0.462341,1.150635
RV,1782148479.8686645,19332121,,,,-0.067688,-0.103394,-0.878418,0.46167,1.150879
LA,1782148479.8740883,19332121,0.140625,0.308594,0.042969,,,,,
RV,1782148479.8798141,19337321,,,,-0.067688,-0.103699,-0.878479,0.461426,1.150879
LA,1782148479.882176,19337321,0.066406,0.300781,-0.070312,,,,,
RV,1782148479.8879344,19341921,,,,-0.067627,-0.103882,-0.878601,0.461182,1.150879
LA,1782148479.890694,19341921,-0.050781,0.300781,-0.148438,,,,,
RV,1782148479.8961244,19347521,,,,-0.067566,-0.104065,-0.878723,0.460938,1.150879
LA,1782148479.8990188,19347521,-0.203125,0.253906,-0.300781,,,,,
RV,1782148479.9047232,19351921,,,,-0.067383,-0.104065,-0.878845,0.460754,1.150879
LA,1782148479.9074702,19351921,-0.28125,0.101562,-0.222656,,,,,
