type,host_time,imu_time_us,x,y,z,i,j,k,real,accuracy
LA,1782148465.1005807,4577066,0.03125,0.160156,-0.332031,,,,,
RV,1782148465.106666,4582066,,,,0.059753,0.073364,0.491638,0.865662,1.130615
LA,1782148465.1084366,4582066,0.117188,0.253906,-0.179688,,,,,
RV,1782148465.1141458,4587466,,,,0.058838,0.073425,0.492493,0.865234,1.130615
LA,1782148465.1169744,4587466,0.046875,0.078125,-0.179688,,,,,
RV,1782148465.1223075,4592466,,,,0.057983,0.073486,0.493286,0.864807,1.130615
LA,1782148465.1252952,4592466,0.054688,-0.144531,-0.074219,,,,,
RV,1782148465.1307716,4597166,,,,0.057129,0.073547,0.494019,0.864441,1.130615
LA,1782148465.133952,4597166,0.140625,-0.089844,0.082031,,,,,
RV,1782148465.139055,4601966,,,,0.056274,0.073608,0.49469,0.864136,1.130615
LA,1782148465.1418233,4601966,0.265625,0.078125,0.347656,,,,,
RV,1782148465.1473856,4607366,,,,0.055359,0.073669,0.495422,0.86377,1.130615
LA,1782148465.1489534,4607366,0.386719,0.046875,0.386719,,,,,
RV,1782148465.241332,4772957,,,,0.048096,0.083679,0.503601,0.858521,1.130615
RV,1782148465.3391886,4823130,,,,0.048035,0.098999,0.504761,0.856201,1.130859
LA,1782148465.3448374,4823130,-0.253906,-0.230469,0.527344,,,,,
RV,1782148465.3474848,4827830,,,,0.048096,0.099487,0.504822,0.85614,1.130859
LA,1782148465.3530576,4827830,-0.171875,-0.164062,0.527344,,,,,
RV,1782148465.3555202,4832830,,,,0.048157,0.099976,0.504883,0.856018,1.130859
LA,1782148465.3614635,4832830,-0.046875,-0.09375,0.488281,,,,,
RV,1782148465.364226,4837730,,,,0.047913,0.100647,0.504883,0.855957,1.130859
LA,1782148465.369973,4837730,0.464844,-0.515625,1.828125,,,,,
RV,1782148465.3724067,4843030,,,,0.046936,0.101868,0.505005,0.855835,1.130859
LA,1782148465.3783865,4843030,0.640625,0.441406,0.957031,,,,,
RV,1782148465.3808036,4847930,,,,0.04541,0.103455,0.505188,0.855591,1.130859
LA,1782148465.3864965,4847930,0.375,0.191406,0.265625,,,,,
RV,1782148465.3890755,4852930,,,,0.043701,0.105164,0.505615,0.855225,1.130859
LA,1782148465.3950577,4852930,-0.191406,-0.148438,-0.03125,,,,,
RV,1782148465.3977566,4857530,,,,0.042358,0.106689,0.506104,0.854797,1.130859
RV,1782148465.49027,5025211,,,,0.028259,0.125244,0.51532,0.84729,1.131104
RV,1782148465.588907,5067380,,,,0.016418,0.13324,0.523621,0.841309,1.131104
LA,1782148465.5939863,5067380,-0.222656,-0.050781,-0.101562,,,,,
RV,1782148465.5991452,5072680,,,,0.015564,0.133545,0.524353,0.84082,1.131104
LA,1782148465.602096,5072680,-0.140625,0.03125,-0.175781,,,,,
RV,1782148465.6052904,5077180,,,,0.014771,0.133789,0.524963,0.840454,1.131104
LA,1782148465.612002,5077180,-0.046875,0.0,-0.375,,,,,
RV,1782148465.6157758,5082680,,,,0.013672,0.134094,0.525696,0.839966,1.131104
LA,1782148465.6191123,5082680,-0.070312,-0.019531,-0.214844,,,,,
RV,1782148465.6278164,5087680,,,,0.012573,0.134338,0.526367,0.839478,1.131104
LA,1782148465.6293888,5087680,0.050781,-0.011719,-0.214844,,,,,
RV,1782148465.6346142,5092780,,,,0.011475,0.134583,0.526978,0.83905,1.131104
LA,1782148465.6384816,5092780,0.144531,-0.113281,-0.367188,,,,,
RV,1782148465.6425006,5097280,,,,0.010559,0.134766,0.527527,0.838745,1.131104
LA,1782148465.6442902,5097280,0.199219,-0.058594,-0.445312,,,,,
RV,1782148465.655673,5102780,,,,0.009399,0.134888,0.528198,0.838318,1.131104
LA,1782148465.7403286,5271095,-0.09375,-0.136719,0.261719,,,,,
RV,1782148465.8380048,5317336,,,,-0.037415,0.133911,0.553589,0.821106,1.131592
LA,1782148465.8433878,5317336,-0.082031,-0.042969,-0.039062,,,,,
RV,1782148465.8462918,5322736,,,,-0.037781,0.134094,0.55426,0.820618,1.131592
LA,1782148465.8517818,5322736,-0.113281,0.03125,-0.039062,,,,,
RV,1782148465.8572733,5327736,,,,-0.038025,0.134277,0.554871,0.820129,1.131592
LA,1782148465.860309,5327736,-0.113281,0.109375,-0.039062,,,,,
RV,1782148465.8659685,5332736,,,,-0.03833,0.134399,0.555542,0.819641,1.131592
LA,1782148465.8684337,5332736,-0.03125,0.15625,-0.113281,,,,,
RV,1782148465.8741431,5337236,,,,-0.038635,0.134521,0.556152,0.819214,1.131592
LA,1782148465.877049,5337236,-0.097656,0.117188,-0.183594,,,,,
RV,1782148465.882331,5342836,,,,-0.039062,0.134583,0.556885,0.818665,1.131592
LA,1782148465.885219,5342836,-0.175781,0.078125,-0.230469,,,,,
